"date","statename","statepostal","fips","m50","m50_index"
2020-03-04,"Wisconsin","WI",55,6.638,100
2020-03-04,"West Virginia","WV",54,7.723,100
2020-03-04,"Wyoming","WY",56,4.02,100
2020-03-05,"Alaska","AK",2,4.072,101
2020-03-05,"Alabama","AL",1,10.982,104
2020-03-05,"Arkansas","AR",5,10.079,105
2020-03-05,"Arizona","AZ",4,8.359,106
2020-03-05,"California","CA",6,7.27,106
2020-03-05,"Colorado","CO",8,7.323,103
2020-03-05,"Connecticut","CT",9,7.25,107
2020-03-05,"Washington, D.C.","DC",11,3.902,106
2020-03-05,"Delaware","DE",10,8.654,103
2020-03-05,"Florida","FL",12,8.485,104
2020-03-05,"Georgia","GA",13,9.845,100
2020-03-05,"Hawaii","HI",15,7.105,104
2020-03-05,"Iowa","IA",19,7.24,104
2020-03-05,"Idaho","ID",16,5.891,108
2020-03-05,"Illinois","IL",17,7.506,103
2020-03-05,"Indiana","IN",18,8.579,103
2020-03-05,"Kansas","KS",20,7.833,106
2020-03-05,"Kentucky","KY",21,9.063,105
2020-03-05,"Louisiana","LA",22,9.896,105
2020-03-05,"Massachusetts","MA",25,6.465,106
2020-03-05,"Maryland","MD",24,8.306,104
2020-03-05,"Maine","ME",23,7.467,104
2020-03-05,"Michigan","MI",26,8.31,104
2020-03-05,"Minnesota","MN",27,7.813,105
2020-03-05,"Missouri","MO",29,9.761,104
2020-03-05,"Mississippi","MS",28,11.958,106
2020-03-05,"Montana","MT",30,4.524,108
2020-03-05,"North Carolina","NC",37,9.749,100
2020-03-05,"North Dakota","ND",38,4.376,102
2020-03-05,"Nebraska","NE",31,7.038,105
2020-03-05,"New Hampshire","NH",33,9.258,104
2020-03-05,"New Jersey","NJ",34,7.442,104
2020-03-05,"New Mexico","NM",35,6.51,109
2020-03-05,"Nevada","NV",32,7.374,104
2020-03-05,"New York","NY",36,5.479,105
2020-03-05,"Ohio","OH",39,8.359,105
2020-03-05,"Oklahoma","OK",40,10.223,106
2020-03-05,"Oregon","OR",41,5.532,107
2020-03-05,"Pennsylvania","PA",42,6.705,106
2020-03-05,"Rhode Island","RI",44,6.438,105
2020-03-05,"South Carolina","SC",45,9.531,99
2020-03-05,"South Dakota","SD",46,5.06,99
2020-03-05,"Tennessee","TN",47,10.769,105
2020-03-05,"Texas","TX",48,9.828,108
2020-03-05,"Utah","UT",49,7.444,105
2020-03-05,"Virginia","VA",51,8.475,105
2020-03-05,"Vermont","VT",50,6.108,103
2020-03-05,"Washington","WA",53,6.229,101
2020-03-05,"Wisconsin","WI",55,6.914,104
2020-03-05,"West Virginia","WV",54,8.024,103
2020-03-05,"Wyoming","WY",56,4.231,105
2020-03-06,"Alaska","AK",2,4.351,108
2020-03-06,"Alabama","AL",1,13.024,123
2020-03-06,"Arkansas","AR",5,11.948,125
2020-03-06,"Arizona","AZ",4,8.954,114
2020-03-06,"California","CA",6,7.649,111
2020-03-06,"Colorado","CO",8,8.018,113
2020-03-06,"Connecticut","CT",9,7.54,111
2020-03-06,"Washington, D.C.","DC",11,4.268,116
2020-03-06,"Delaware","DE",10,8.773,105
2020-03-06,"Florida","FL",12,9.065,111
2020-03-06,"Georgia","GA",13,11.54,118
2020-03-06,"Hawaii","HI",15,7.509,110
2020-03-06,"Iowa","IA",19,8.717,125
2020-03-06,"Idaho","ID",16,6.319,115
2020-03-06,"Illinois","IL",17,8.22,113
2020-03-06,"Indiana","IN",18,9.539,114
2020-03-06,"Kansas","KS",20,9.268,126
2020-03-06,"Kentucky","KY",21,9.822,113
2020-03-06,"Louisiana","LA",22,11.032,117
2020-03-06,"Massachusetts","MA",25,6.834,112
2020-03-06,"Maryland","MD",24,8.344,105
2020-03-06,"Maine","ME",23,8.242,115
2020-03-06,"Michigan","MI",26,8.944,111
2020-03-06,"Minnesota","MN",27,8.732,118
2020-03-06,"Missouri","MO",29,11.002,117
2020-03-06,"Mississippi","MS",28,14.276,127
2020-03-06,"Montana","MT",30,5.021,120
2020-03-06,"North Carolina","NC",37,11.052,113
2020-03-06,"North Dakota","ND",38,4.974,116
2020-03-06,"Nebraska","NE",31,8.114,121
2020-03-06,"New Hampshire","NH",33,10.011,113
2020-03-06,"New Jersey","NJ",34,7.364,102
2020-03-06,"New Mexico","NM",35,6.96,117
2020-03-06,"Nevada","NV",32,7.582,107
2020-03-06,"New York","NY",36,5.52,106
2020-03-06,"Ohio","OH",39,9.036,113
2020-03-06,"Oklahoma","OK",40,11.686,121
2020-03-06,"Oregon","OR",41,5.632,109
2020-03-06,"Pennsylvania","PA",42,7.181,113
2020-03-06,"Rhode Island","RI",44,6.992,114
2020-03-06,"South Carolina","SC",45,11.404,119
2020-03-06,"South Dakota","SD",46,6.579,128
2020-03-06,"Tennessee","TN",47,11.743,114
2020-03-06,"Texas","TX",48,10.972,120
2020-03-06,"Utah","UT",49,8.079,114
2020-03-06,"Virginia","VA",51,9.011,112
2020-03-06,"Vermont","VT",50,7.406,125
2020-03-06,"Washington","WA",53,6.29,102
2020-03-06,"Wisconsin","WI",55,7.986,120
2020-03-06,"West Virginia","WV",54,8.453,109
2020-03-06,"Wyoming","WY",56,4.903,121
2020-03-07,"Alaska","AK",2,2.337,58
2020-03-07,"Alabama","AL",1,11.373,107
2020-03-07,"Arkansas","AR",5,10.333,108
2020-03-07,"Arizona","AZ",4,7.167,91
2020-03-07,"California","CA",6,5.97,87
2020-03-07,"Colorado","CO",8,6.42,91
2020-03-07,"Connecticut","CT",9,5.866,87
2020-03-07,"Washington, D.C.","DC",11,3.966,108
2020-03-07,"Delaware","DE",10,7.342,88
2020-03-07,"Florida","FL",12,7.541,92
2020-03-07,"Georgia","GA",13,10.109,103
2020-03-07,"Hawaii","HI",15,6.541,96
2020-03-07,"Iowa","IA",19,7.162,103
2020-03-07,"Idaho","ID",16,4.552,83
2020-03-07,"Illinois","IL",17,7.032,96
